Intel,AMD,Qualcomm,MicronTech,Infenion,STMElectro,Texas,Toyota,VW,Ford,Nissan,Honda,PSA,Daimler,Tata,Fuji,Boing,UnitTech,LockMartin,Honeywell,GenDyn,BAE,Northrop,Raytheon,RollsRoyce,Textron,Embraer,Apple,Micrsoft,Nokia,Sony,LG,Lenovo,BlackBerry,Alcatel,Vodafone,JandJ,GE,Medtronic,Fresenius,Koninklijke (Philips),Cardinal,Novartis,Stryker,Becton,BostonScience,Allergan,St Jude,3M,Abbott,Zimmer,SmithAndNephew,Olympus,Bayer,Bard,Varian,DENTSPLY,Hologic,Danaher,Intuitive,ABB Robo,Adept,Bosch,CaterPill,Denso,Google,Unversal Electro
19.15,13.08,42.68,12.13,15.46,19.23,30.12,126.88,30.2,7.9,21.32,34.59,70.1,82.97,15.65,51.65,88.9,65.03,97.35,45.58,76.47,37,74.49,52.42,49.85,90.23,45.9,94.14,27.89,22.76,50.27,17.56,7.2,137.75,11.8,27.23,60.26,35.36,48.16,48.39,38.14,72.95,55.09,66.43,77,14.52,111.02,37.77,76.44,55.8,85.75,64.16,33.8,63.78,80.48,47.42,32.8,57.97,70.74,121.48,17.31,7.75,4500,67.04,146.25,457.76,27.9
19.22,12.86,43.4,12.17,15.44,19.35,30.11,125.7,29.95,8.09,21.5,35.13,71.3,83.17,15.94,51.95,89.32,65.23,97.24,46.27,76.74,35.75,75.33,52.92,49.85,91.43,46.35,94.14,27.86,22.84,50.85,17.7,7.45,138.01,11.99,27.17,60.55,35.43,48.56,49.38,37.89,73.21,55.28,67.6,78.03,14.7,111.88,38.01,76.53,56.01,85.95,64.09,34.45,63.66,80.71,47.88,33.06,61.47,71.9,122.21,17.5,7.45,4680,67.21,149.5,464.05,28.96
19.35,12.81,43.93,12.24,15.49,19.67,30.14,127.65,29.8,8.04,21.62,35.91,71.35,81.71,16,52.5,89.91,65.48,97.51,46.8,77.56,35.6,75.64,53.32,49.65,92.25,48.05,94.94,28.01,23.38,51.8,17.9,7.35,141.17,12.33,27.25,60.71,35.37,49.4,49.68,38.3,73.86,54.99,67.7,79.05,14.85,112.18,38.48,77.5,56.61,86.99,63.14,34.1,64.31,81.21,48.23,33.42,61.4,71.5,123.63,17.84,7.52,4510,67.24,148.75,472.14,28.41
19.29,12.68,43.06,12.15,15.61,19.81,30.5,125.78,29.8,8.02,21.84,35.5,71.35,80.82,16.19,52,90.2,64.77,96.75,47.25,77.92,36.2,75.5,53.75,49.85,92.27,47.58,94.12,28.32,23.54,52,18.14,7.4,143.5,12.36,27.08,61.34,35.13,49.03,49.93,39.02,73.72,55.65,67.5,78.06,14.8,112.65,38.71,77.03,56.37,88.1,62.53,33.95,65.53,81.19,48.17,33.07,58.81,70.86,125.39,18.01,7.86,4514,67.48,148.75,471.3,28.37
19.88,13.4,43.34,11.5,15.65,19.85,30.9,126.75,29.6,8.05,21.7,35.34,70.95,84.75,16.58,53.95,90.97,65,96.99,47.36,78.29,38,75.21,54.1,49.75,92.8,47.75,95.21,28.58,23.7,53.62,17.71,7.4,147.6,12.32,26.93,61.6,35.1,48.88,50.11,38.55,74.03,55.55,68.05,78.42,14.98,113.55,38.47,76.84,57.05,89.05,62.5,35.05,66.1,82.17,48.42,33.26,59.2,71.29,124.3,18,8.35,4490,67.76,150.25,472.98,28.52
20.1,13.41,42.54,11.16,15.43,19.89,30.75,125.9,29.65,8.09,21.56,34.56,71.45,83.01,16.8,53.95,89.95,65.01,98.4,46.94,78.39,35.2,75.78,54.55,50.1,92.56,46.9,93.67,28.5,23.62,53.74,18,7.3,146.64,12.45,27.4,61.54,34.8,48.96,50.05,39.34,73.11,55.72,68.5,78.05,14.9,113.53,38.45,76.88,57.21,88.31,62.95,34.6,66.6,81.89,48.55,32.85,59.41,70.75,123.56,17.92,8.32,4499.95,67.2,149.25,467.09,28
20.59,13.26,42.91,11.3,15.56,19.91,31.32,125.67,29.65,8.14,21.43,34.37,71.45,83.47,17.05,53.95,90.9,64.4,98.21,46.95,78.08,35.2,75.32,54.36,49.75,91.52,46.82,93.9,28.3,23.79,53.82,18.52,7.2,148.75,12.4,27.67,61.52,35,49.52,50.37,39.84,73.13,55.2,67.95,77.81,15,114.9,38.47,76.5,56.75,88.64,62.77,34.6,66.75,81.79,49,32.95,59.51,70.53,123,17.97,8,4499.8,67,147,466.06,27.12
20.38,13.25,41.69,11.25,15.63,20.31,30.7,123.85,29.95,8.11,21.19,33.98,72.25,81.93,16.77,50.9,89.98,63.93,96,46.43,76.7,35.1,73.9,53.85,49.9,91.23,45.94,92.04,28.06,23.38,53.2,18.91,7.3,134.97,12.31,27.39,61.55,35.16,50.26,49.7,39.09,73.51,55.2,67.7,78.34,15.26,115.44,38.75,76.29,56.8,88.2,62.9,34,64.83,81.63,48.99,32.95,58.8,70.56,122.52,17.72,8.82,4484,66.1,142.85,464,27.08
20.41,13.78,42.51,11.47,15.75,20.41,31.13,121,30.05,8.11,20.98,33.83,75.75,82.62,17.05,49.6,91.1,64.74,96.16,47.76,78.09,35.9,75,55.1,49.45,92.55,46.8,90.9,28.43,23.7,54.9,19.29,7.3,134.11,12.41,27.36,62.15,35.6,50.96,50.36,39.72,76.11,56.45,67.88,78.46,15.48,119.97,41,77.25,57.44,89.06,63.22,34,66.08,81.68,46.36,33.37,59.62,70.79,123.44,18.15,9,4391,66.95,140.7,468.45,27.67
20.41,13.6,42.77,11.37,15.78,20.56,30.95,121.15,30.05,8.05,20.5,34.01,76.95,81.96,17.6,49.75,91,65.54,96.34,46.43,77.1,35.3,74.82,54.48,50.8,94.38,47.5,90.57,28.6,23.99,54.75,19.43,7.4,132.93,12.43,27.77,62.49,35.5,50.82,50.62,41.65,74.27,56.77,68.14,78.41,15.18,118.1,40.34,76.91,58.79,88.25,63.61,35.6,67,81.61,45.35,33.3,59.52,71.41,125.77,18.37,8.92,4465,67.03,140.25,468.46,27.77
20.67,13.48,43.21,11.07,15.85,20.83,31.45,122.33,30.75,8,20.48,34.05,79.65,83.06,17.5,49.75,90.3,65.99,95.99,47.35,77.22,35.5,74.67,54.9,50.9,95.99,47.2,92,28.63,24.05,55.05,19.29,7.2,132.7,12.69,28.28,65.3,35.37,52.03,50.57,41.67,74.15,56.69,69.04,78.9,16.4,118.26,41.61,77,58.65,88.45,63.87,35.6,67.37,82.08,46.53,33.49,59.94,73.25,126.01,18.38,8.5,4365.1,67,138.75,473.8,27.57
21.32,13.42,43.01,10.95,15.7,20.52,31.7,123.13,30.8,7.85,20.64,34.27,79.5,82.26,17.44,49.85,90.45,67.08,95.56,47.64,76.76,35.6,74.85,54.83,49.75,95.89,47.15,90.16,28.61,23.8,55.2,18.89,7.25,129.09,12.63,27.81,64.45,35.16,51.98,50.57,41.21,74.3,57.1,70.06,78.5,16.01,118.23,41.47,77.34,57.3,88.95,63.58,35.55,66.41,81.86,46.49,33.34,59.19,72.4,125.85,18.23,8.23,4336,68.41,140,471.26,29.24
21.16,13.91,42.69,10.98,15.61,20.15,31.7,123.44,30.8,7.82,20.31,34.64,78.8,80.34,17.24,50.09,93.49,67,96.95,48.21,77.79,35.6,76.6,54.83,49.5,98.67,47.82,90.19,28.34,24.7,54.3,18.68,7.25,133.39,12.57,27.82,64.94,35.05,51.92,49.75,41.68,73.55,56.94,68,77.7,15.65,117.18,42,76.36,57.79,88.38,62.62,34.65,66.29,81.38,45.82,33.06,57.69,71.51,122.29,18.22,8.12,4385,68.7,139.25,474.5,28.73
22.05,14.57,43.9,11.19,15.77,20.35,32.82,125.01,31.1,7.81,20.56,34.8,78.8,81.22,17.51,50.4,93.77,68.49,95.99,51.3,78.55,36.1,76.39,55.8,49.55,102.27,48.35,90.89,28.98,25,54.76,18.81,7.35,133.74,12.66,28.6,65.45,35.23,52.27,49.9,42.65,74.72,57.54,66.95,78.8,15.92,119.7,43.85,77.96,57.93,88,62.06,34.65,67.23,82.9,45.5,33.19,58.24,72,127.99,18.78,8.53,4351,72.03,140.25,490.52,27.35
22.03,14.03,43.32,11.22,15.48,20.15,32.5,125,30.8,7.73,20.57,34.86,77.45,80.53,17.63,49.55,94.1,67.55,95.42,51.2,79.41,35.6,75.94,55.2,50.35,101.05,47.6,91.59,28.96,24.88,54.5,19.11,7.7,132.58,12.55,28.7,65,35.13,52.21,49.92,42.14,76.15,58.12,66.65,78.88,16.12,120.03,43.3,77.75,57.5,87.25,61.67,35.3,66.5,85.06,45.38,33.02,58.74,71.48,131.77,18.88,8.44,4389,72.2,141.25,480.1,28.17
21.95,13.76,43.11,11.25,15.72,20.59,35.47,124.79,30.55,7.84,20.7,34.21,78.35,79.83,18.28,49.55,94.9,68.07,98.34,51.49,79,35.95,76.05,54.68,49.55,101.43,46.91,93.96,28.79,25.14,54.86,19.65,8.05,133.5,13.16,28.37,65.15,34.8,52.81,49.37,42.24,74.88,58.21,67,78.45,15.75,118.61,43.45,77.14,57.08,88.2,61.85,35.5,67.94,80.39,45.62,33.11,58.54,72.13,132.83,18.85,8.9,4350,71.9,138.75,478.61,28.1
21.99,14.59,44.6,11.66,16.01,20.39,35.15,122.5,30.9,7.8,20.4,33.69,80.2,81.53,18.81,49.35,94.64,67.91,94.82,53.2,80.5,35.5,74.17,55.46,49.65,101,47.95,94.23,28.86,25.25,54.19,20,8.05,133.33,13.51,28.42,64.75,34.98,53.1,49.73,42.14,75.26,58.03,66.74,79.77,15.99,119.55,44.1,76.96,57.25,89.4,62.76,35.5,68.44,84.4,45.66,33.07,58.11,71,133.3,19.19,9.25,4300,73,136.25,480,28.26
22.13,14.7,46.2,11.93,15.84,19.69,35.45,121.9,30.6,8.37,20.3,34.06,79.35,81.57,18.91,49.35,94.54,67.87,95.05,53.93,78.52,35.5,74.6,55.86,49.15,103,47.51,101.58,29.09,25.56,54.21,20.63,8.05,135.61,13.33,28.7,64.49,35.46,53.58,50.08,42.18,74.05,58.45,66.61,78.1,15.8,120.8,43.74,80.31,56,91.86,62.71,35,68.99,84.46,42.02,33.4,58.25,70.7,133.37,20.18,9.17,4325,73.05,139.75,478.1,28.61
21.92,14.33,44.91,11.9,16.03,19.58,34.75,122.35,30.3,8.2,20.35,34.51,79.35,81.77,18.62,49.25,94.25,67.35,93.81,53.43,79.11,35.6,73.45,53.23,48.8,101.65,46.81,98.18,30.17,25.55,53.56,20.65,7.95,134.67,13.28,28.73,64.01,36.1,53.75,50.04,41.39,70.8,59.03,65.67,77.55,15.9,120.73,43.42,79.97,56.6,91.81,62.59,34.85,67.56,84.09,42.5,33.33,58.91,69.98,133.12,20.34,9.6,4275,72.6,141.25,480.07,27.5
21.78,14.27,44.65,11.75,15.73,19.57,34.54,122,30.45,8.06,20.3,34.54,82,81.6,18.5,49,94.02,67.83,96.5,54.67,80,35.1,74.65,54.05,48.9,103.7,47.33,100.09,30.13,25.4,53.37,20.5,7.9,134.99,13.24,28.82,64,36.9,53.5,50.3,41.23,70.6,58.59,65.64,78.5,16.02,121.88,43.64,81.56,56.93,91.01,62.63,34.85,68.6,84.19,41.76,33.48,58.94,71.05,132.6,20.28,9.6,4300,73.56,143.2,479.15,27.81
21.56,13.86,44.01,11.4,15.52,19.43,34.36,121.74,30.25,8.04,20.36,34.01,81.7,81.1,18.34,48.5,93.15,66.98,96.4,54.49,78.6,35.15,73.88,54.4,48.5,102.05,46.9,99.59,29.94,25.27,52.94,20.22,7.95,133.26,13.24,28.88,64.53,36.82,53.11,50.2,41.04,70.1,57.95,65.27,79,15.8,121.67,42.93,82.77,56.56,89.63,62.46,34.85,68.39,83.88,42.44,34.08,60,70.44,130.78,20.03,9.79,4225,72.6,142,472.19,28.25
21.81,13.62,43.95,11.32,15.45,19.38,34.84,120.96,30.25,8.08,20.3,33.69,81.65,81.64,18.33,48.25,93.08,67.5,96.46,55.09,78.73,36.2,73.15,53.28,49,101.83,47.53,99.65,30.39,25.71,53.38,20.7,8,132.79,13.31,28.6,64.01,37.12,53.76,50.15,40.97,71.5,57.92,65.3,79.7,16,121,44.05,83.4,57.07,88.5,62.12,34.65,68.4,82.75,42.4,36.34,58.77,71.96,131.1,20.2,9.04,4300,73.31,140.25,468.65,29.3
22.11,13.93,44.35,11.41,15.32,19.51,35.09,120.27,29.95,8.12,20.19,33.93,81.65,81.05,18.15,48.65,94.08,68.26,96.48,55.61,80.17,36.55,72.95,54.22,50.55,103.97,49.1,100.73,30.6,25.53,53.55,21.07,7.9,133.7,13.34,28.83,64.59,37.34,53.99,50.61,40.75,71.12,58.16,65.45,81,16.35,118.25,44.75,84.31,57.36,89.4,61.2,34.6,69.95,83.55,43.17,36.9,62.3,73.24,134.65,19.99,9.15,4280,73.31,139.5,466.22,30.98
21.95,13.79,44.52,11.44,15.37,19.75,35.16,120.52,29.9,8.19,20.29,33.76,81.85,82.49,18.05,48.25,94.35,68.29,96.75,56,80.46,36.85,73.88,54.11,51.85,103.73,48.02,100.8,30.68,25.37,53.88,21,8.1,136.01,13.44,28.97,64.56,37.44,53.92,50.49,40.86,70.88,58.81,65.73,80.33,16.29,120.21,44.17,83.9,57.54,91,62.24,34.65,69.95,82.93,43.8,36.9,62.21,73.92,135.19,19.91,9.05,4299,73.8,139,470.12,34.16
21.92,13.58,44.12,11.94,15.53,19.78,35.01,121.13,29.8,8.19,20.46,34.2,81.85,82.04,18.1,47.4,93.8,68.15,97,56.04,80,36.05,73.99,54.3,51.95,103.23,47.14,101.08,30.52,25.25,54.53,21.26,8,138.31,13.33,29,63.99,37.23,53.94,51.18,41.25,70.99,58.46,66.05,79.82,16.76,121.25,44.23,84.21,58.81,90.45,62.15,35.25,70.28,82.6,43.75,36.81,61.71,74.08,133.62,20.1,8.91,4360,72.95,139.5,472.14,34.04
21.98,13.27,43.73,11.87,15.42,19.58,35.11,120.64,29,8.15,20.46,34.02,79.75,80.28,17.92,45.9,94.41,68.63,97.76,55.33,81.11,35.3,74.8,54.26,49.4,103.12,47.28,103.47,30.68,24.92,54.36,22.01,7.75,139.8,13.2,28.78,63.94,37.09,53.66,51.89,40.81,70.75,58.05,65.66,79.35,16.75,120.55,44.31,84.42,58.89,90.3,62,35.45,68.81,82.69,43.35,36.33,61.42,73.06,133.44,19.72,8.66,4519,72.5,137.5,466.13,34.15
22.04,13.11,43.95,11.87,15.31,19.56,35.57,119.98,28.85,8.37,20.8,33.89,79.25,79.2,17.9,47.4,93.87,68.2,98.21,55.85,79.7,34.35,74.9,54.5,50.6,102.47,47.1,104.91,30.7,24.8,55.42,22.11,7.4,147.55,13.2,28.59,63.64,36.92,53.43,51.15,40.68,69.93,58.3,65.34,79.29,16.4,123.64,44.49,84.4,58.6,90.6,62.01,36.2,68.56,82.39,42.87,36.29,60.04,72.42,133.6,19.71,9.15,4330,73.4,141,466.15,33.56
22.36,13.48,44,12.3,15.37,19.74,36.51,117.51,27.85,8.36,20.36,33.62,78,80.11,17.57,45.85,93.75,68.6,98.7,56.26,80.18,34.45,75.22,54.8,49.95,102.1,47.4,106.63,30.68,24.93,54.39,21.99,7.3,154.37,13.2,28.14,64.01,37.1,53.2,50.67,40.79,70.08,57.51,65.04,79.21,16.22,124.19,44.26,85,58.68,90.37,61.9,36.95,68.35,82.35,42.81,36,60.85,72.46,134.96,19.85,8.33,4465,74.51,133.25,467.04,34.09
22.32,14.16,44.18,12.12,14.97,19.36,36.62,118.76,29.25,8.26,20.61,33.65,79.25,79.62,17.49,46.95,92.81,68.09,98.66,57.21,79.91,34.7,74.86,54,51,101.59,46.82,107.74,30.57,24.81,53.82,21.48,7.4,152.35,13.44,28.32,62.3,36.8,52.73,49.52,40.07,69.3,57.39,64.88,78.32,15.86,122.57,43.77,84.78,57.35,90.15,62.3,37.65,66.81,82.07,42.07,36.16,60.61,71.46,131.35,19.58,8.35,4380,74.1,136.25,461.83,33.16
22.36,14.94,44.97,12.38,14.98,19.7,37.15,121.75,28.45,8.55,21.51,33.98,79.65,85,17.61,46.55,93.4,68.38,98.68,57.81,80.5,34.6,74.64,54.06,50.3,102.88,47.8,109.62,30.84,26.22,54.19,21.37,8.1,152.75,13.66,28.21,63,37,53.42,50.22,40.41,68.5,57.46,64.3,78.03,15.88,123.29,44.1,85.3,57.85,89.9,62.63,38.45,67.53,82.26,42.28,36.05,59.97,71.5,131,20.01,7.99,4352.5,75,136.5,465.48,33.57
22.08,15.55,44.53,12.25,14.86,19.64,36.99,122.01,29.05,8.72,21.89,33.95,81,86.6,17.53,46.65,93.98,68.52,99.2,58.56,80.75,35.5,75.8,54.05,50.1,104.29,45.82,109.57,30.9,26.04,53.09,20.58,8.15,148.29,13.3,28.24,61.99,36.67,53.6,50.52,40.33,69.42,57.59,64.25,78,15.62,123.57,42.68,84.85,58.36,89.6,62.57,37.85,67.35,82.15,41.3,36.08,59.17,71.55,130.25,19.99,7.85,4391,76.03,137.5,461.96,33.51
22.05,15.36,44.39,12.05,15.1,19.65,36.52,122,29.45,8.93,21.55,34.29,80.55,86.79,17.87,45.55,94.5,68.52,99.79,57.99,80.99,35.35,76,54.3,50.55,104.49,47.58,108.53,31,26.75,54.91,20.45,8.1,148.81,13.37,28.46,62.78,36.72,52.85,50.75,40.6,70.2,57.37,64.5,78.05,15.78,122,43.63,86.48,59,89.49,63.06,37.85,67.77,82.75,41.71,36.03,58.11,71.95,131.27,20.19,8.9,4435,76.5,136,462,32.39
22.3,15.62,44.81,11.86,14.81,19.39,36.16,121.02,29.5,8.78,21.63,34.5,79.65,86.3,18.31,46.05,95.34,68.52,99.3,58.12,81.24,36,76.83,54.37,49.55,103.75,47.28,107.15,31.03,26.58,54.9,21,8.05,151.77,13.34,28.36,63.1,36.75,51.9,50.1,40.61,70.55,56.02,66.5,78.5,15.63,122.42,43.05,86.09,59,90.43,62.84,37.2,66.72,82.91,41.34,35.92,57.51,71.7,129.46,20.26,8.41,4230,75.18,136.5,472.46,32.61
22.69,15.54,44.93,11.5,14.8,19.8,35.99,122,29.5,8.86,21.67,34.49,79.65,86.71,18.35,46.8,97.07,69.65,98.6,58.39,81.26,35.5,76.85,54.59,50.9,104.43,46.86,110.23,30.97,26.85,55.27,20.95,8.1,152.53,13.51,28.65,62.98,36.8,51.5,49.72,41.25,71.06,56.93,67.01,77.45,15.34,122.58,42.81,86.93,58.98,90.01,62.62,37.2,69.09,82.34,41.08,35.67,56.58,71.49,131,20.29,8.03,4165,75.01,137.85,472.03,31.76
22.7,15.63,45.22,11.5,14.87,19.98,35.65,120.85,29.15,8.73,21.71,34.38,82.4,87.37,18,45.8,96.42,68.91,97.81,58.5,81.27,35.15,77,54.28,50.55,104.91,47.21,110.31,30.73,27.14,56.93,21.13,8.07,152.45,13.55,28.7,63.85,37.31,50.8,49.05,41.1,71.64,56.28,67.83,77.54,15.39,122.15,42.81,86.88,59.25,90.1,62.1,36.4,72.03,82.9,41.51,35.95,55,71.3,132.38,20.35,7.92,4201.1,74.77,136.25,469.53,31.87
22.89,15.48,46.48,11.49,14.93,20.66,35.6,119.61,29.75,8.78,21.86,34.12,82.1,87.97,18.03,45.5,97.24,69,97.71,58.25,81.71,34.7,76.65,54.95,50.55,105.03,47.28,112.49,30.9,26.73,58.85,21.13,8.15,152.74,13.62,28.92,63.55,37.22,50.64,48.42,41.12,71.59,55.31,67.3,77.14,15.44,121,43.34,87.06,58.39,90.67,61.57,36.4,72.41,82.8,41.74,36.11,54.28,71.84,132.69,20.59,7.84,4186,74.85,134,473,31.99
22.99,15.31,46.51,11.48,14.9,20.05,35.13,120.16,31.4,8.68,22.03,34.01,77.9,90.83,17.74,47,95.95,69.25,94.21,57.05,80.57,35.08,75.86,54.32,51.1,105.66,46.52,114.02,30.84,26.48,58.68,20.55,8.45,160,14.09,30.04,63.77,37.5,53.5,48.15,41.45,71.9,55.98,67.76,76.75,15.72,121.3,43.76,87.65,57.7,90.13,61.86,36.7,70.99,83.83,41.94,36.1,53.78,71.8,133.98,21.12,8.34,4150,75.88,137,480.82,33.17
22.72,15.16,44.75,11.72,15.15,19.63,35.14,121.88,30.15,8.77,22.35,34.55,75.6,89.88,17.73,46.85,95.9,69,94.75,56.55,80.17,35.2,75.34,54.25,50.5,106.9,46.45,112.81,30.54,26.55,57.4,20.45,8.3,158.98,14.07,30.57,63.76,37.74,52.52,47.6,40.97,72.05,56.03,67.33,77.7,15.8,120.56,43.58,87.62,57.14,90.2,61.51,36.86,70.51,84.1,41.5,36.52,53.88,71.3,136.5,21.18,7.87,4900,76.03,139,475.15,32.81
22.12,15.01,43.69,11.98,15.01,19.44,34.75,120.1,30.1,8.56,22.39,34.34,76.8,90.63,17.99,45.7,98.3,68.07,96.18,55.93,79,34.7,75.16,54.28,50.5,106.4,46.62,112,30.28,26.65,56.58,20.65,9.2,161.06,13.87,30.4,63.58,37.43,52.9,47.72,40.68,72.2,56.17,66.99,77.26,15.73,123.16,42.75,87.55,55.07,89.79,60.8,36.7,70.36,84.25,40.35,35.78,52.71,70.87,136.82,20.95,7.34,4250,75.37,137.5,479.7,32.47
22.17,14.97,43.4,12.18,15.13,19.54,35.01,120.56,30.6,8.53,22.29,34.87,77.15,90.11,18.15,48.35,98.52,68.82,97.02,57.02,79.48,32.7,74.8,54.18,50.35,106.57,47.81,114.45,30.49,26.71,56.89,20.85,10.05,166.19,13.83,31.57,63.2,37.61,52.74,48.54,41.39,72.11,56.25,67,77.5,15.71,123.16,42.95,87.17,56.17,89.97,61.71,36.7,70.74,84.15,40.72,35.89,52.04,72.79,137,21.2,7.04,4110,75.82,140.45,485,32.73
22.07,14.36,43.35,11.83,14.91,19.2,34.77,119.57,30.15,8.35,22.18,34.43,77.8,89.36,18.14,47.9,98.47,68.56,98.3,57.25,79.37,33.4,74.96,54.55,50.2,105.18,47.36,114.3,30.55,26.75,56.62,20.58,9.65,163,13.53,31.37,63.05,37.19,52.86,48.35,41.22,72.5,56,66.45,76.49,15.44,123.75,42.47,87.3,56.6,89.57,61.02,36.7,69.36,83.9,40.02,36.18,51.7,73.48,136.36,20.84,7.4,4199,75.4,140.25,484.5,32.03
22.14,14.43,42.93,11.92,15.54,19.41,35.15,120.39,30.35,8.54,22.32,35.15,79.5,91.79,18.59,47.65,100.69,69.62,98.62,57.75,79.65,32.75,75.85,54.89,50,107,48.6,120.07,31.12,27.5,57.7,20.55,9.9,166.31,13.84,31.47,63,37.78,52.99,49.17,42.39,72.8,56.13,67.04,76.5,15.43,125,42.48,87.93,55.86,89.21,61.62,37.55,71.65,84.95,41.12,35.97,52.47,73.46,137.77,21.38,7.15,3965,78.6,140.25,500.56,32.66
22.34,14.3,43.53,12.3,15.78,19.31,35.55,122.18,30.62,8.37,21.88,35.47,80.4,91.62,18.55,47.1,101.45,70.9,98.23,58.11,80.24,32.25,75.86,55.71,50,107.3,48.91,121.1,30.79,27.54,57.2,19.9,10.72,166.83,13.66,31.95,63.35,37.68,53.21,49.35,42.13,72.58,56.19,67.31,76.12,15.67,124.3,42.69,87.95,56.35,88.06,61.43,37.55,72.98,84.42,40.35,36.19,54.23,73.5,138.4,21.72,7.6,3962.7,78.85,143.25,501,33.5
22.24,14.25,42.47,12.47,15.93,19.3,35.77,123.75,31.17,8.34,22.16,35.46,79.85,90.89,17.95,47.4,101,70.33,96.98,58.5,79.88,33.35,76.1,55.95,51.3,107.93,47.88,118.63,30.42,28.3,56.82,19.7,10.55,163.94,13.56,32.4,63.05,37.79,53,49.05,42.17,72.35,56.45,66.94,76.27,15.63,123.44,43.4,88.43,55.52,87.28,61.31,37.65,72.9,84.11,39.62,36.3,54.49,74.31,140.82,21.83,7.36,4100,77.99,145,497.91,33.14
22.12,14.07,42.28,12.57,15.83,19.2,35.64,124.94,30.7,8.28,22,35.32,79,90.49,17.75,46.9,99.94,70.55,96.7,58.45,79.97,33.65,76.63,56.4,51.4,107.99,48.39,121.41,30.62,28.57,56.47,20.6,10.85,167.26,13.75,32.56,63.4,37.81,52.64,48.71,42.6,72.55,56.35,67.62,75.8,15.99,123.39,43.77,88.07,55.79,87.03,60.66,37.65,73.82,84.9,40.77,36.64,53.99,74.47,143.18,22.15,7.06,4050,78.12,149,509.75,33.49
21.88,13.86,42.37,12.33,15.57,19.05,35.09,125.49,30.05,8.26,22.19,35.24,76.5,88.63,17.3,47.1,98.97,70.25,96.19,58.08,78.68,33.1,76.63,56.37,52.3,106.87,48,122.3,30.37,28.45,56.1,20.8,11,166.89,13.61,31.51,63.2,37.3,52.5,48.37,41.97,72.05,56.72,66.9,75.54,15.85,122.89,43.51,87.47,55.13,86.85,60.57,37.4,73.11,84.4,40.88,36.18,55.14,73,142.58,21.67,6.92,4150,78.12,148.5,516.75,32.43
21.32,13.56,41.91,12.15,15.36,18.69,34.85,124.52,29,8.28,21.87,35.01,76,87.41,16.73,48.15,98.29,69.91,97.54,57.26,79.75,33.75,75.81,56.66,51.2,105.65,47.95,124.99,30.02,28.19,55.68,20.83,11.05,166.33,13.26,31.14,62.64,37.21,52.26,47.51,41.18,72.62,55.94,66.26,74.5,16.15,120.5,42.08,86.62,54.55,86.15,59.24,37.35,70.37,83.8,41.2,36,55.75,71.91,140.61,21.24,6.92,4062,78.43,147.25,519.75,32.6
21.45,13.77,42.13,12.02,15.18,18.81,35.02,122,29.4,8.06,21.47,34.36,76.6,86.77,16.34,48.25,96.7,68.98,95.39,56.5,79.45,32.5,75.23,56,50.7,104.33,47.12,125.82,29.58,27.83,54.13,21.32,10.95,164.07,13.24,31.34,62.05,36.8,51.57,47.04,41.18,72.09,55.11,64.95,74.33,15.89,117.87,40.74,84.88,54,84.54,59.45,36.8,69.58,83.39,40.13,35.75,54.6,71.5,136.7,21.03,7.11,4190,77.24,146.45,516.2,31.81
21.75,14.12,41.6,12.3,15.34,18.99,35.93,124.84,28.85,8.39,21.83,34.89,76.6,88.4,16.19,48.4,98.25,69.85,97,57.25,80.4,33,76.04,56.64,50.9,106.58,47.4,126,29.94,28.14,54.5,22.56,11.05,165.38,13.48,31.13,62.89,37.07,52.07,46.93,40.86,72,54.84,65.34,75.38,16.09,119.35,42.32,85.94,54.11,85.16,59.54,37.75,70.63,84.49,43.67,36.18,56.32,72.11,139.72,21.59,6.99,4150,78.32,147,514.02,33.88
21.86,13.75,41.02,11.94,15.2,18.72,34.86,122.89,28.7,8.39,21.67,34.52,76.6,88.66,15.99,48.55,97.55,69.99,95.8,57,79.86,33.25,75.49,55.55,52,106,48.14,119.35,29.96,27.74,53.81,22.83,11.05,167,13.25,31.41,62.25,37.35,51.5,47.31,40.72,71.68,54.57,65.14,74.5,16.18,119.7,42.04,85.3,53.68,84.6,59.58,37.75,70.95,84.4,40.81,35.99,55.86,72.32,140.32,21.48,6.94,4105,78.3,148.5,508.71,35.64
22.27,13.86,42.06,12.06,15.35,18.72,35.29,123.25,29.35,8.39,21.55,34.86,76.2,88.47,16,48.35,97.12,69.88,95.4,57.02,79.43,33.65,75.79,55.82,54.1,105.96,48.69,121.15,29.97,27.76,54.39,22.9,11.05,170.9,13.22,31.34,61.91,37.25,52.07,46.8,40.46,71.6,54.58,64.12,74.65,15.8,117.95,41.75,85.7,53.75,84.39,59.66,37.75,71.69,84.3,41.23,36.21,54.86,71.96,139.02,21.26,6.9,4085,78.46,150.1,507.09,35.72
22.64,13.97,42.71,12.14,15.58,18.82,35.89,123.5,29.2,8.58,21.67,34.84,78.2,89.98,16,48.6,99,70.33,95.9,57.65,80.14,33.55,76.59,55.93,53.75,107.35,50.5,117.2,30.35,28.17,54.3,23.99,11.35,171.14,13.2,31.8,62.2,37.6,51.41,47.22,41.32,70.47,54.64,64.92,74.46,16.16,119.55,42.98,87.07,54.2,85.51,60.7,37.45,73.48,84.91,40.13,36.73,54.55,72.89,139.95,21.72,7,4100,79.48,150.75,505.38,35.7
